Name,Latitude,Longitude,Elevation
Tucson Camera Repair,32,110,709
VitaNovu,43,116,844
ALDI,39,75,43
Joy Bridal Studio,36,86,231
Francisco's On The River,40,74,16
The Distelfink Bakery,40,75,105
Texas Margaritas,39,86,280
RideNow Powersports Ina,32,111,678
Taco Bell,32,110,809
Ham's Deli,38,90,153
Get Air New Port Richey,28,82,9
Silky Skin Laser & Esthetics Centre North,53,113,664
Jon Smith Subs,43,116,785
Whataburger,32,110,696
Los Rancheros,39,86,259
Drexel Hill Pizza & Grill,39,75,74
Big Horn Grill,39,119,1501
Cafe Jasper,32,110,829
Tread Connection,39,119,1341
Sierra Valley Home Services,39,119,2751
Koi Sushi & Thai,35,86,215
Hair Saloon,38,90,187
Dean's Village Laundromat,32,110,720
Penn Station East Coast Subs,38,90,129
Americas Best Value Inn Nashville Downtown,36,86,145
Amigos Mexican Restaurant,43,116,816
A&W,53,113,687
Krispy Kreme,36,86,156
Manley Mechanical,39,119,1550
CraftyCrab,39,86,265
Sunrise Surf And Skateboard Shop,39,75,21
Sheffield Tavern,40,75,17
Farmer's Market Deli & Grill,36,86,133
Tony's Bar,39,75,35
Racanelli's New York Pizzeria,38,90,164
Tuchman Cleaners,39,86,204
The Tuxon Hotel,32,110,721
Golden China Restaurant,32,110,817
Cafe Arnold Neighborhood Grill,38,90,173
Just Because...Flowers,40,74,39
Eats,36,86,186
Busy Nails,27,82,27
Reno Sportsdome,39,119,1413
Panago Pizza,53,113,689
Aaron's,39,119,1353
Cr猫me de la Cr猫me,53,113,696
Best IT Guru,40,75,49
BFF Cafe,39,119,1420
Mister Car Wash,36,86,195
The Jewelry Exchange - Overland,38,90,185
Cheddar's Scratch Kitchen,38,89,177
Famous Sam's Restaurant & Bar,32,110,750
Wasabi2,39,75,132
Aiello's Pizzeria,38,90,128
Luberto's Brickoven Pizza,40,75,154
Broadway Proper,32,110,802
So Fly Studio,36,86,177
The UPS Store,38,90,178
Rent-A-Wheel,32,110,772
China One,39,86,214
ACME Markets,40,75,57
Dimaggio's Restaurant,53,113,706
Good Oak Bar,32,110,726
Subway,34,119,54
Widerange,39,86,242
Advanced ENT & Allergy,39,74,40
Two Small Men With Big Hearts,53,113,673
Wilson's Market,40,75,67
Caladesi Honeymoon Ferry Service,28,82,1
New Golden Buffet,40,75,42
Musselman Honda Circuit,32,110,922
The UPS Store,32,110,787
Bevan's Cold Cuts,39,75,131
Providence Trail,36,86,196
Bogo SB,34,119,31
Bizzy B Handyman & Painting Services,40,75,26
Apex Tax Advisors,39,74,21
Zorba,28,82,35
Captain D's,36,86,164
Carney Plumbing Heating & Cooling,40,75,106
Epicurean Restaurant & Bar,40,75,54
Ralston Massage Center,39,119,1361
5th St. Bakehouse,39,119,1384
Supercuts,38,90,197
Alliance mental health specialists - Reno,39,119,1391
Natural Nails Salon,39,75,88
Flowers By Design,36,86,166
"James R Rappaport,  MD",39,119,1385
Powerhouse Gym Hamilton,40,74,18
Falls Deli,40,75,56
Pet Care Clinic,43,116,791
5 Points Cases and Kegs,40,75,142
Piercing Pagoda,40,75,62
ACME Markets,39,75,125
La Belle Nail Spa,35,86,186
Purple Lotus Massage Therapy,53,113,658
Retro Fitness,40,74,36
Truly Nolen Pest & Termite Control,32,110,754
Northwest Allied Physicians,32,110,810
Fred Meyer,43,116,834
Citipointe Church,36,86,197
Raz'z Restaurant,35,86,178
Toyama Japanese Steak House,36,86,187
Fresh Healthy Cafe,53,113,697
Levittown Lanes,40,74,32
Cherry Hill Pizza,39,74,18
St. Louis Kaplan Feldman Holocaust Museum,38,90,200
O'Reilly Auto Parts,36,86,172
Ob's Pizza Pub & Eatery,39,85,266
Captain D's,36,86,226
Old Country Buffet,40,74,53
Closets by Design - South East Pennsylvania,40,75,134
Ascension Saint Thomas Urgent Care - Nashville - Inglewood,36,86,167
"Tires, Etc",39,75,61
Ellerslie Gift & Garden,53,113,686
China Spring,36,86,182
CAVA,39,75,136
Hollywood Tans,39,75,53
Thai Phooket Smyrna,35,86,167
Strike & Spare Family Fun Center,36,86,212
Costco Car Wash,43,116,840
legacy tattoo,32,110,715
Sushi Rose,39,119,1500
Mi Caribe,38,90,165
Marshalls,38,90,133
The UPS Store,34,119,29
ALDI,39,86,273
PANA Donuts Coffee & Boba Tea,39,86,258
Old House In Hog Hollow,38,90,199
Bhann Thai,38,90,137
Sparks Florist,39,119,1348
Urological Associates of Southern Arizona PC,32,111,711
Machismo Burrito Bar,40,75,118
Lennys Subs,35,86,207
The Balance Within,40,75,90
Principal Rental Homes,32,110,769
Supercuts,39,75,95
Excel Movers,32,110,780
Vecchia Osteria,40,74,52
Abbruzzi & Giunta's Italian Market,39,74,11
Major Tire & Hitch,43,116,809
Happy Pets Inn,27,82,34
Bella Dermatology,39,119,1495
Eden Korean Restaurant,39,74,22
Huge Impact Restaurant,39,86,231
Just To Serve You Too,40,75,34
P.F. Chang's,35,86,202
Ascending Health Juicery,34,119,36
Spirit Salon & Day Spa And Mobile,32,110,735
KS Optical Group,39,75,39
The Transfer Lab,36,86,232
Catelli Ristorante & Caffe,39,74,35
Upholstery Decor,34,119,9
The Wine Tap,38,89,161
Freddy's Frozen Custard & Steakburgers,32,111,677
Shiloh Veterinary Clinic,38,89,166
Xfinity Store by Comcast,39,75,115
J & J Superior Garage Door Service,32,110,890
St Louis Fish and Chicken,38,90,169
Subliminal Grilled Subs & More,38,90,211
Professional Nail Salon,39,75,85
Davis Island Yacht Club,27,82,2
The Mill,34,119,3
Wolfgang Puck Express,39,86,234
European Wax Center,39,86,261
Rolling Tacos,43,116,811
Persian Room Fine Dining,32,111,737
El Carrito,39,119,1360
Rincon Brewery,34,119,5
Chopt Creative Salad Co.,36,86,227
George Thomas Florist,39,86,251
A&W,53,113,704
JJ's Barbeque,27,82,2
Birchwood Farm,40,74,77
Turning Point of North Wales,40,75,116
RJ's Bagels,40,74,38
Burger Theory,39,86,239
MOTOVELO,39,119,1464
Ulysses S. Grant National Historic Site,38,90,160
Frontier Pest Control,39,119,1748
Mr Wizard of Aston,39,75,62
Five Hearts Preschool,39,119,1423
Crowne Plaza Hotel Philadelphia Downtown,39,75,48
Carondelet Medical Group - Riverstone,32,110,706
Saguaro National Park,32,110,940
